class, exp, lyamda, value
1,1,215.97,13.2
1,1,216.01,-23.2
1,1,216.05,21.2
1,1,216.08,-10.2
1,1,216.12,41.8
1,1,216.16,70.8
1,1,216.2,6.4
1,1,216.24,16.2
1,1,216.28,38.2
1,1,216.31,29.2
1,1,216.35,89.6
1,1,216.39,85.8
1,1,216.43,64.2
1,1,216.47,102.8
1,1,216.51,37
1,1,216.54,7.2
1,1,216.58,48.4
1,1,216.62,42.4
1,1,216.66,47.6
1,1,216.7,-9
1,1,216.74,79.8
1,1,216.77,-6.4
1,1,216.81,-13
1,1,216.85,-15.2
1,1,216.89,18.6
1,1,216.93,82.6
1,1,216.97,-32.2
1,1,217,50.8
1,1,217.04,-0.59998
1,1,217.08,-5.6
1,1,217.12,41.8
1,1,217.16,4.4
1,1,217.19,10.6
1,1,217.23,-24.8
1,1,217.27,31.8
1,1,217.31,60
1,1,217.35,38
1,1,217.39,33
1,1,217.42,13.2
1,1,217.46,28.2
1,1,217.5,80
1,1,217.54,-8.2
1,1,217.58,21
1,1,217.61,-23.6
1,1,217.65,53.6
1,1,217.69,24.6
1,1,217.73,71.4
1,1,217.77,73.2
1,1,217.81,103.8
1,1,217.84,12.6
1,1,217.88,38.8
1,1,217.92,45
1,1,217.96,29
1,1,218,47.8
1,1,218.03,-1.4
1,1,218.07,45.8
1,1,218.11,13.4
1,1,218.15,47.4
1,1,218.19,39.2
1,1,218.22,-26
1,1,218.26,55.6
1,1,218.3,23.8
1,1,218.34,-17.4
1,1,218.38,63
1,1,218.41,35.6
1,1,218.45,18
1,1,218.49,81.4
1,1,218.53,40.4
1,1,218.57,112.6
1,1,218.6,75.6
1,1,218.64,88.8
1,1,218.68,26.4
1,1,218.72,-16.4
1,1,218.76,102.4
1,1,218.79,35.6
1,1,218.83,15.8
1,1,218.87,36.8
1,1,218.91,39.6
1,1,218.95,20.8
1,1,218.98,41.2
1,1,219.02,-56.2
1,1,219.06,28.6
1,1,219.1,16.6
1,1,219.14,22.6
1,1,219.17,45
1,1,219.21,47.8
1,1,219.25,2.2
1,1,219.29,71
1,1,219.32,68
1,1,219.36,22.4
1,1,219.4,31
1,1,219.44,27.8
1,1,219.48,133.6
1,1,219.51,71
1,1,219.55,22
1,1,219.59,66.8
1,1,219.63,42
1,1,219.67,-7.8
1,1,219.7,67.2
1,1,219.74,-20.8
1,1,219.78,-43.4
1,1,219.82,60.4
1,1,219.85,-1.8
1,1,219.89,-50.2
1,1,219.93,-10.6
1,1,219.97,28.8
1,1,220.01,42.4
1,1,220.04,-17.2
1,1,220.08,50.8
1,1,220.12,31.2
1,1,220.16,49
1,1,220.19,60.6
1,1,220.23,0.40002
1,1,220.27,43
1,1,220.31,45.2
1,1,220.34,-0.79999
1,1,220.38,67.4
1,1,220.42,82.8
1,1,220.46,9.8
1,1,220.5,25
1,1,220.53,64.4
1,1,220.57,99.6
1,1,220.61,59.2
1,1,220.65,54.4
1,1,220.68,110.2
1,1,220.72,53.2
1,1,220.76,-1.8
1,1,220.8,3.4
1,1,220.83,9.8
1,1,220.87,9.8
1,1,220.91,-16.4
1,1,220.95,82
1,1,220.98,-3.4
1,1,221.02,4.6
1,1,221.06,46.8
1,1,221.1,74.4
1,1,221.13,73.8
1,1,221.17,-30.8
1,1,221.21,22.4
1,1,221.25,48
1,1,221.28,-15.8
1,1,221.32,7.2
1,1,221.36,34.8
1,1,221.4,-58.2
1,1,221.44,109.4
1,1,221.47,48.8
1,1,221.51,2.2
1,1,221.55,30.8
1,1,221.59,24.6
1,1,221.62,46.8
1,1,221.66,61.8
1,1,221.7,15.6
1,1,221.73,15.4
1,1,221.77,-13
1,1,221.81,93.2
1,1,221.85,13.4
1,1,221.88,39.6
1,1,221.92,19
1,1,221.96,12.8
1,1,222,22.8
1,1,222.03,96.8
1,1,222.07,18.6
1,1,222.11,-1
1,1,222.15,46.8
1,1,222.18,36
1,1,222.22,-22.4
1,1,222.26,81.8
1,1,222.3,108
1,1,222.33,51.2
1,1,222.37,52.2
1,1,222.41,64.2
1,1,222.45,68.6
1,1,222.48,114.6
1,1,222.52,102.6
1,1,222.56,-46.2
1,1,222.59,18.8
1,1,222.63,7.2
1,1,222.67,14.8
1,1,222.71,25
1,1,222.74,-13.8
1,1,222.78,87.4
1,1,222.82,45.6
1,1,222.86,46.2
1,1,222.89,7
1,1,222.93,73
1,1,222.97,94
1,1,223,68.6
1,1,223.04,-25.8
1,1,223.08,-44.6
1,1,223.12,72
1,1,223.15,78.8
1,1,223.19,82.8
1,1,223.23,19
1,1,223.27,3.8
1,1,223.3,-1.2
1,1,223.34,31.2
1,1,223.38,38.8
1,1,223.41,97
1,1,223.45,23.4
1,1,223.49,14.2
1,1,223.53,15.8
1,1,223.56,90.2
1,1,223.6,4.6
1,1,223.64,84.2
1,1,223.67,60
1,1,223.71,62
1,1,223.75,30.2
1,1,223.79,71.4
1,1,223.82,61.6
1,1,223.86,71.2
1,1,223.9,68.2
1,1,223.93,67.4
1,1,223.97,66.6
